HM Revenue and Customs Senior Officials Travel Report,,,,1st July to 30th September 2014,,,,
Name of Official,Mode of travel,Date of Departure,Duration of stay,Destination,City of accommodation (if different to destination),Class of travel,Base Sales including tax,Notes
Mr E Troup,Air,01/07/2014,,Edinburgh,,Economy,£141.66,
Mr E Troup,Taxi,01/07/2014,,Edinburgh,,N/A,£53.90,
Mrs L Homer,Rail,01/07/2014,,Bath,,Standard,£139.58,
Mr M Dearnley,Rail,02/07/2014,1,Newcastle,,Standard,£219.98,
Mrs L Homer,Rail,02/07/2014,,Lincoln,,First,£35.89,"For business reasons, this journey was not undertaken. Ticket was non-refundable."
Mr J Harra,Rail,03/07/2014,,Newcastle,,Standard,£120.28,
Mr M Dearnley,Rail,03/07/2014,1,Peterborough,,Standard,£234.71,
Mrs L Homer,Rail,03/07/2014,,Newcastle,,Standard,£28.61,
Ms R Owen,Rail,03/07/2014,,Lincoln,,Standard,£41.22,
Ms R Owen,Taxi,03/07/2014,,Lincoln,,,£35.00,
Ms R Owen,Rail,03/07/2014,,Leeds.,,Standard,£48.98,
Mr R Owen,Hire,03/07/2014,,Leeds.,,,£53.11,
Mrs L Homer,Rail,04/07/2014,,Preston,,Standard,£224.55,
Mr W Hague,Rail,04/07/2014,,Manchester ,,First/Standard,£181.54,
Ms R Owen,Air,08/07/2014,3,Edinburgh,,Economy,£429.19,
Mr E Troup,Rail,10/07/2014,,Berkhamsted,,Standard,£27.35,
Ms R Owen,Taxi,10/07/2014,,,,,£40.00,
Mr E Troup,Rail,11/07/2014,,Ipswich,,Standard,£47.72,
Ms R Owen,Air,11/07/2014,,Luton,,Economy,£98.22,
Mr E Troup,Rail,14/07/2014,,Berkhamsted,,Standard,£27.74,
Mr J Harra,Rail,14/07/2014,,Berkhamsted,,Standard,£27.74,
Mr M Dearnley,Rail,14/07/2014,,Berkhamsted,,Standard,£27.74,
Mr N Lodge,Rail,14/07/2014,,Berkhamsted,,Standard,£27.74,
Mr S Bowles,Rail,14/07/2014,,Berkhamsted,,Standard,£27.35,
Mr V Beckers,Rail,14/07/2014,,Berkhamsted,,Standard,£63.63,
Mr V Beckers,Air,14/07/2014,,Berkhamsted,,Economy,£99.99,
Mrs L Homer,Rail,14/07/2014,,Berkhamsted,,Standard,£27.35,
Ms J Granger,Rail,14/07/2014,,Berkhamsted,,Standard,£27.35,
Ms R Owen,Rail,14/07/2014,,Berkhamsted,,Standard,£27.74,
Mr W Hague,Rail,14/07/2014,,Berkhamsted,,Standard,£27.74,
Mr A Cole,Air,16/07/2014,,Berne,,Economy,£253.38,
Mr E Troup,Air,16/07/2014,,Berne,,Economy,£237.93,
Mr E Troup,Rail,23/07/2014,,Manchester ,,Standard,£148.26,
Ms R Owen,Rail,23/07/2014,1,Nottingham,,Standard,£155.78,
Mr N Lodge,Rail,24/07/2014,,Darlington,,Standard,£115.04,
Mrs L Homer,Rail,24/07/2014,,Bradford,,Standard,£148.41,
Ms J Granger,Air,24/07/2014,3,Washington DC,,Business,"£5,698.33",
Mr M Dearnley,Rail,25/07/2014,,Worthing,,Standard,£26.19,
Mr M Dearnley,Air,29/07/2014,,Newcastle,,Economy,£168.59,
Ms R Owen,Rail,30/07/2014,1,Durham,,Standard,£264.97,
Ms R Owen,Air,30/07/2014,1,Edinburgh,,Economy,£216.19,
Mr J Harra,Rail,31/07/2014,,Liverpool ,,Standard,£135.31,
Ms J Granger,Rail,31/07/2014,1,Newcastle,,Standard,£300.83,
Ms R Owen,Air,04/08/2014,2,Edinburgh,Bathgate,Economy,£283.72,
Ms R Owen,Taxi,04/08/2014,,Edinburgh,,,£41.60,
Ms R Owen,Air,06/08/2014,1,Belfast,,Economy,£239.99,
Ms R Owen,Hire,07/08/2014,,,,,£48.15 ,
Ms R Owen,Rail,13/08/2014,1,Newcastle,,Standard,£413.35,
Mr J Harra,Rail,14/08/2014,,Lincoln,,Standard,£38.31,
Ms R Owen,Air,18/08/2014,1,Glasgow,,Economy,£435.63,
Ms R Owen,Rail,18/08/2014,,Heathrow,,Standard,£26.00,
Mr J Harra,Air,19/08/2014,,Aberdeen,,Economy,£256.34,
Mr J Harra,Taxi,19/08/2014,,Aberdeen,,,£28.00,
Mrs L Homer,Rail,28/08/2014,,Reading,,Standard,£32.79,
Mr E Troup,Rail,29/08/2014,,Nottingham,,Standard,£98.94,
Ms J Granger,Rail,02/09/2014,,Cambridge,,Standard,£43.84,
Mr N Lodge,Rail,03/09/2014,1,Preston,,First/Standard,£192.04,1st class was cheapest ticket available to book
Ms R Owen,Rail,03/09/2014,,Leicester,,Standard,£90.21,
Mrs L Homer,Air,04/09/2014,1,Edinburgh,,Economy,£440.83,
Ms R Owen,Rail,04/09/2014,1,Dorchester,Bridport,Standard,£242.13,
Ms R Owen,Taxi,04/09/2014,,Bridport,,,£30.00,
Mr W Hague,Rail,04/09/2014,1,Wolverhampton,,Standard,£283.14,
Mr E Troup,Rail,05/09/2014,,Cambridge,,Standard,£43.84,
Mr A Cole,Air,07/09/2014,2,Tel Aviv,,Business,"£2,081.28",
Ms B McBride,Air,09/09/2014,,Oslo,,Economy,£134.19,
Ms R Owen,Rail,11/09/2014,1,Darlington,,Standard,£197.13,
Mr W Hague,Rail,11/09/2014,,Canterbuy,,Standard,£33.76,
Mr E Troup,Air,12/09/2014,4,Sydney,,Business,"£4,544.53",
Ms R Owen,Rail,12/09/2014,,Milton Keynes,,Standard,£109.03,
Mr E Troup,Taxi,13/09/2014,,Sydney,,,£38.92,
Mr E Troup,Air,16/09/2014,4,Wellington,,Economy,£738.15,
Mr E Troup,Taxi,16/09/2014,,Wellington,,,£30.71,
Mr J Harra,Rail,16/09/2014,,Manchester ,,Standard,£60.62,
Mr J Harra,Rail,19/09/2014,,Brussels,,Economy,£199.00,
Mr E Troup,Air,24/09/2014,4,Beijing,,Business,"£2,950.15",
Mr N Lodge,Hire car,24/09/2014,,,,,£48.59,
Mr J Harra,Rail,25/09/2014,,Lincoln,,Standard,£43.16,
Mr M Dearnley,Rail,25/09/2014,,Lincoln,,Standard,£144.53,
Mrs L Homer,Rail,25/09/2014,,Lincoln,,Standard,£84.38,
Mrs L Homer,Taxi,25/09/2014,,Lincoln,,,£35.90,
Ms J Granger,Rail,25/09/2014,,Lincoln,,Standard,£131.82,
Ms R Owen,Rail,25/09/2014,,Lincoln,,First/Standard,£105.73,
Ms R Owen,Taxi,25/09/2014,,Lincoln,,,£38.00,
Mr W Hague,Rail,25/09/2014,,Lincoln,,Standard,£144.53,
Mr W Hague,Taxi,25/09/2014,,Lincoln,,,£35.00,
Mr N Lodge,Rail,26/09/2014,,London,,Standard,£65.47,
Mr N Lodge,Taxi,26/09/2014,,Lincoln,,,£26.00,
Mrs L Homer,Taxi,26/09/2014,,Lincoln,,,£26.20,
Mr S Bowles,Rail,29/09/2014,,Lincoln,,Standard,£89.72,
Mr S Bowles,Taxi,29/09/2014,,Lincoln,,,£65.00,
