Either Way Offences and Attempts ,Current Quarter Month 1,Current Quarter Month 2,Current Quarter Month 3,Q2 2011/2012,Previous Quarter Month 1,Previous Quarter Month 2,Previous Quarter Month 3,Q2 2010/2011
Theft ,93,87,95,275,108,95,127,330
Removal of articles from places open to  the public ,0,0,0,0,0,0,0,0
Abstracting electricity,0,0,0,0,0,0,0,0
False accounting,0,0,0,0,0,0,2,2
Handling stolen goods,2,0,7,9,3,2,4,9
Going equipped for stealing etc,0,0,0,0,0,0,0,0
Making off without payment ,15,15,15,45,20,25,27,72
Making a false representation ,18,20,30,68,30,17,31,78
Failing to disclose information ,0,0,0,0,0,0,0,0
Fraud by abuse of position ,1,1,2,4,3,0,2,5
Possession of articles for use in frauds,0,0,0,0,1,1,0,2
Making or supplying articles for use in frauds,0,0,0,0,1,1,0,2
Obtaining services dishonestly ,2,0,1,3,1,4,5,10
Threats to destroy or damage property,1,0,0,1,0,0,1,1
Possessing anything with intent to destroy or damage property ,0,0,0,0,0,0,0,0
Possession of any class of drug (consistent with personal use),35,64,31,130,53,58,51,162
Other Forgery ,0,0,0,0,1,0,1,2
Total,167,187,181,535,221,203,251,675
